trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.9, 'e': 0.9588496310845509}",25,17,-5.412465651557313,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.9, 'e': 0.9578907814534663}",35,0,-107.87942927607793,"{0: 23, 1: 3, 2: 8, 3: 0, 4: 1}",0
44,False,"{'a': 0.9, 'e': 0.9569328906720128}",20,0,-39.928034940413994,"{0: 14, 1: 4, 2: 0, 3: 2, 4: 0}",0
45,False,"{'a': 0.9, 'e': 0.9559759577813408}",25,0,-229.07120188942605,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
46,False,"{'a': 0.9, 'e': 0.9550199818235595}",30,0,-197.50790603321124,"{0: 21, 1: 0, 2: 4, 3: 1, 4: 4}",0
47,False,"{'a': 0.9, 'e': 0.954064961841736}",20,0,-29.14102126603119,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.9, 'e': 0.9531108968798943}",25,10,-63.590150284024766,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.9, 'e': 0.9521577859830144}",20,0,-97.75339248254865,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
50,False,"{'a': 0.9, 'e': 0.9512056281970314}",20,0,-118.71376839994139,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
51,False,"{'a': 0.9, 'e': 0.9502544225688343}",20,0,-100.82258883133602,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
52,False,"{'a': 0.9, 'e': 0.9493041681462654}",20,2,-116.18336352084297,"{0: 8, 1: 6, 2: 2, 3: 0, 4: 2}",1
53,False,"{'a': 0.9, 'e': 0.9483548639781192}",25,0,-77.15796223864274,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
54,False,"{'a': 0.9, 'e': 0.947406509114141}",20,0,-57.71513320811903,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.9, 'e': 0.9464591026050269}",35,0,-104.06944753902009,"{0: 23, 1: 7, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.9, 'e': 0.9455126435024219}",25,0,-194.57494955585355,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
57,False,"{'a': 0.9, 'e': 0.9445671308589194}",20,0,-68.60188411476943,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.9, 'e': 0.9436225637280605}",30,7,-61.767729144058976,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 1}",1
59,False,"{'a': 0.9, 'e': 0.9426789411643325}",20,0,-60.55754224661283,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.9, 'e': 0.9417362622231682}",20,9,-5.852384940888686,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.9, 'e': 0.9407945259609449}",25,0,-83.1194017250753,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
